1935.08333333333,NaN
1935.16666666667,0
1935.25,0
1935.33333333333,0
1935.41666666667,0
1935.5,0.443
1935.58333333333,1.119
1935.66666666667,1.044
1935.75,0.86
1935.83333333333,0.648
1935.91666666667,0.41
1936,0.41
1936.08333333333,0.41
1936.16666666667,0.41
1936.25,0.377
1936.33333333333,0.897
1936.41666666667,3.507
1936.5,5.356
1936.58333333333,5.665
1936.66666666667,5.917
1936.75,5.981
1936.83333333333,5.854
1936.91666666667,5.917
1937,5.854
1937.08333333333,5.79
1937.16666666667,6.045
1937.25,6.371
1937.33333333333,7.326
1937.41666666667,9.928
1937.5,11.469
1937.58333333333,12.005
1937.66666666667,11.735
1937.75,11.557
1937.83333333333,11.469
1937.91666666667,11.381
1938,11.381
1938.08333333333,11.293
1938.16666666667,11.293
1938.25,11.735
1938.33333333333,12.554
1938.41666666667,15.004
1938.5,18.603
1938.58333333333,19.473
1938.66666666667,19.346
1938.75,19.6
1938.83333333333,19.221
1938.91666666667,18.971
1939,18.971
1939.08333333333,18.482
1939.16666666667,17.533
1939.25,17.649
1939.33333333333,18.241
1939.41666666667,19.857
1939.5,20.777
1939.58333333333,20.511
1939.66666666667,19.986
1939.75,20.247
1939.83333333333,19.857
1939.91666666667,19.473
1940,19.096
1940.08333333333,18.725
1940.16666666667,18.603
1940.25,18.482
1940.33333333333,18.482
1940.41666666667,19.728
1940.5,20.644
1940.58333333333,20.379
1940.66666666667,19.857
1940.75,19.6
1940.83333333333,19.6
1940.91666666667,19.221
1941,18.848
1941.08333333333,18.725
1941.16666666667,18.848
1941.25,19.096
1941.33333333333,19.857
1941.41666666667,23.289
1941.5,25.551
1941.58333333333,26.177
1941.66666666667,25.551
1941.75,24.628
1941.83333333333,24.781
1941.91666666667,24.026
1942,22.57
1942.08333333333,21.046
1942.16666666667,19.986
1942.25,19.221
1942.33333333333,20.777
1942.41666666667,22.428
1942.5,25.087
1942.58333333333,25.087
1942.66666666667,24.628
1942.75,23.877
1942.83333333333,22.999
1942.91666666667,22.287
1943,21.453
1943.08333333333,20.644
1943.16666666667,20.379
1943.25,19.986
1943.33333333333,20.511
1943.41666666667,21.591
1943.5,22.999
1943.58333333333,23.435
1943.66666666667,23.144
1943.75,22.57
1943.83333333333,21.728
1943.91666666667,20.911
1944,20.117
1944.08333333333,19.221
1944.16666666667,18.361
1944.25,17.649
1944.33333333333,17.649
1944.41666666667,19.473
1944.5,22.428
